;0
639;20000
640;20000
641;20000
642;20000
643;18000
644;15000
645;10000
646;17000
647;15000
648;20000
649;18000
650;20000
651;20000
652;20000
653;15000
654;20000
655;15000
656;18000
657;10000
658;10000
659;20000
660;20000
661;20000
662;17000
663;18000
664;18000
665;18000
666;15000
667;20000
668;20000
669;15000
670;18000
671;20000
672;20000
673;5000
674;18000
675;20000
676;18000
677;19000
678;16000
679;19000
680;20000
681;20000
682;16000
683;20000
684;20000
685;18000
686;15000
687;18000
688;18000
689;17000
690;15000
691;19000
692;20000
693;15000
694;20000
695;20000
696;18000
697;15000
698;20000
699;19000
700;18000
701;17000
702;20000
703;15000
704;17650
705;16000
706;18000
707;16000
708;19000
709;20000
710;20000
711;20000
712;20000
713;20000
714;16000
715;16000
716;20000
717;19000
718;20000
719;12000
720;20000
721;12000
722;20000
723;20000
724;20000
725;17000
726;16000
727;20000
728;18000
729;20000
730;10000
731;18000
732;12000
733;20000
734;10000
735;20000
736;20000
737;15000
738;16000
739;20000
740;15000
741;10000
742;18000
743;20000
744;15000
745;17000
746;18000
747;18000
748;20000
749;15000
750;18000
751;20000
752;15000
753;19000
754;18000
755;19000
756;20000
757;15000
758;20000
759;20000
760;17000
761;17000
762;20000
763;18000
764;20000
765;15000
766;20000
767;20000
768;18000
769;17000
770;20000
771;19000
772;20000
773;13000
774;17000
775;18000
776;14000
777;15000
778;20000
779;18000
780;18000
781;20000
782;13000
783;15000
784;20000
785;20000
786;13000
787;20000
788;18000
789;20000
790;19000
791;18500
792;11000
793;20000
